[2024-05-31T23:14:39] Estimation window: 2002-05-10 - 2006-04-28, Best order: (5, 0, 4), AIC: -6276.28, Final model converged
[2024-05-31T23:15:04] Estimation window: 2002-05-13 - 2006-05-01, Best order: (4, 0, 4), AIC: -6278.09, Final model converged
[2024-05-31T23:15:27] Estimation window: 2002-05-14 - 2006-05-02, Best order: (5, 0, 4), AIC: -6282.86, Final model converged
[2024-05-31T23:15:52] Estimation window: 2002-05-15 - 2006-05-03, Best order: (5, 0, 4), AIC: -6287.72, Final model converged
[2024-05-31T23:16:15] Estimation window: 2002-05-16 - 2006-05-04, Best order: (5, 0, 4), AIC: -6287.51, Final model converged
[2024-05-31T23:16:41] Estimation window: 2002-05-17 - 2006-05-05, Best order: (5, 0, 4), AIC: -6287.84, Final model converged
[2024-05-31T23:17:09] Estimation window: 2002-05-20 - 2006-05-08, Best order: (5, 0, 4), AIC: -6288.16, Final model converged
[2024-05-31T23:17:34] Estimation window: 2002-05-21 - 2006-05-09, Best order: (4, 0, 5), AIC: -6288.86, Final model converged
[2024-05-31T23:17:59] Estimation window: 2002-05-22 - 2006-05-10, Best order: (5, 0, 4), AIC: -6291.08, Final model converged
[2024-05-31T23:18:21] Estimation window: 2002-05-23 - 2006-05-11, Best order: (5, 0, 4), AIC: -6289.65, Final model converged
[2024-05-31T23:18:43] Estimation window: 2002-05-24 - 2006-05-12, Best order: (5, 0, 4), AIC: -6288.28, Final model converged
[2024-05-31T23:19:09] Estimation window: 2002-05-28 - 2006-05-15, Best order: (5, 0, 4), AIC: -6291.64, Final model converged
[2024-05-31T23:19:33] Estimation window: 2002-05-29 - 2006-05-16, Best order: (5, 0, 4), AIC: -6290.56, Final model converged
[2024-05-31T23:19:56] Estimation window: 2002-05-30 - 2006-05-17, Best order: (5, 0, 4), AIC: -6288.53, Final model converged
[2024-05-31T23:20:16] Estimation window: 2002-05-31 - 2006-05-18, Best order: (5, 0, 4), AIC: -6286.21, Final model converged
[2024-05-31T23:20:39] Estimation window: 2002-06-03 - 2006-05-19, Best order: (5, 0, 4), AIC: -6290.16, Final model converged
