[2024-05-31T23:12:37] Estimation window: 2006-07-25 - 2010-07-14, Best order: (5, 0, 2), AIC: -5340.28, Final model converged
[2024-05-31T23:13:00] Estimation window: 2006-07-26 - 2010-07-15, Best order: (5, 0, 2), AIC: -5340.27, Final model converged
[2024-05-31T23:13:22] Estimation window: 2006-07-27 - 2010-07-16, Best order: (5, 0, 2), AIC: -5336.9, Final model converged
[2024-05-31T23:13:41] Estimation window: 2006-07-28 - 2010-07-19, Best order: (4, 0, 5), AIC: -5332.11, Final model converged
[2024-05-31T23:14:03] Estimation window: 2006-07-31 - 2010-07-20, Best order: (5, 0, 2), AIC: -5337.34, Final model converged
[2024-05-31T23:14:25] Estimation window: 2006-08-01 - 2010-07-21, Best order: (5, 0, 2), AIC: -5337.24, Final model converged
[2024-05-31T23:14:46] Estimation window: 2006-08-02 - 2010-07-22, Best order: (5, 0, 2), AIC: -5335.67, Final model converged
[2024-05-31T23:15:07] Estimation window: 2006-08-03 - 2010-07-23, Best order: (5, 0, 2), AIC: -5335.41, Final model converged
[2024-05-31T23:15:31] Estimation window: 2006-08-04 - 2010-07-26, Best order: (5, 0, 2), AIC: -5334.34, Final model converged
[2024-05-31T23:15:51] Estimation window: 2006-08-07 - 2010-07-27, Best order: (5, 0, 2), AIC: -5334.52, Final model converged
[2024-05-31T23:16:12] Estimation window: 2006-08-08 - 2010-07-28, Best order: (5, 0, 2), AIC: -5334.34, Final model converged
[2024-05-31T23:16:33] Estimation window: 2006-08-09 - 2010-07-29, Best order: (5, 0, 2), AIC: -5334.51, Final model converged
[2024-05-31T23:16:53] Estimation window: 2006-08-10 - 2010-07-30, Best order: (5, 0, 2), AIC: -5334.43, Final model converged
[2024-05-31T23:17:15] Estimation window: 2006-08-11 - 2010-08-02, Best order: (5, 0, 2), AIC: -5332.85, Final model converged
[2024-05-31T23:17:37] Estimation window: 2006-08-14 - 2010-08-03, Best order: (5, 0, 2), AIC: -5332.86, Final model converged
[2024-05-31T23:17:59] Estimation window: 2006-08-15 - 2010-08-04, Best order: (2, 0, 5), AIC: -5330.66, Final model converged
[2024-05-31T23:18:21] Estimation window: 2006-08-16 - 2010-08-05, Best order: (5, 0, 2), AIC: -5333.24, Final model converged
[2024-05-31T23:18:42] Estimation window: 2006-08-17 - 2010-08-06, Best order: (5, 0, 2), AIC: -5333.57, Final model converged
[2024-05-31T23:19:03] Estimation window: 2006-08-18 - 2010-08-09, Best order: (5, 0, 2), AIC: -5333.51, Final model converged
[2024-05-31T23:19:25] Estimation window: 2006-08-21 - 2010-08-10, Best order: (5, 0, 2), AIC: -5333.56, Final model converged
[2024-05-31T23:19:47] Estimation window: 2006-08-22 - 2010-08-11, Best order: (5, 0, 2), AIC: -5330.71, Final model converged
[2024-05-31T23:20:10] Estimation window: 2006-08-23 - 2010-08-12, Best order: (5, 0, 2), AIC: -5330.53, Final model converged
[2024-05-31T23:20:31] Estimation window: 2006-08-24 - 2010-08-13, Best order: (5, 0, 5), AIC: -5326.9, Final model converged
[2024-05-31T23:20:54] Estimation window: 2006-08-25 - 2010-08-16, Best order: (5, 0, 2), AIC: -5330.49, Final model converged
[2024-05-31T23:21:15] Estimation window: 2006-08-28 - 2010-08-17, Best order: (5, 0, 2), AIC: -5329.91, Final model converged
[2024-05-31T23:21:36] Estimation window: 2006-08-29 - 2010-08-18, Best order: (5, 0, 2), AIC: -5329.95, Final model converged
[2024-05-31T23:21:58] Estimation window: 2006-08-30 - 2010-08-19, Best order: (5, 0, 2), AIC: -5329.32, Final model converged
[2024-05-31T23:22:23] Estimation window: 2006-08-31 - 2010-08-20, Best order: (5, 0, 2), AIC: -5329.22, Final model converged
[2024-05-31T23:22:44] Estimation window: 2006-09-01 - 2010-08-23, Best order: (5, 0, 2), AIC: -5329.21, Final model converged
[2024-05-31T23:23:07] Estimation window: 2006-09-05 - 2010-08-24, Best order: (5, 0, 2), AIC: -5328.28, Final model converged
[2024-05-31T23:23:31] Estimation window: 2006-09-06 - 2010-08-25, Best order: (5, 0, 2), AIC: -5328.27, Final model converged
[2024-05-31T23:23:58] Estimation window: 2006-09-07 - 2010-08-26, Best order: (5, 0, 2), AIC: -5328.31, Final model converged
[2024-05-31T23:24:26] Estimation window: 2006-09-08 - 2010-08-27, Best order: (5, 0, 2), AIC: -5327.07, Final model converged
[2024-05-31T23:24:56] Estimation window: 2006-09-11 - 2010-08-30, Best order: (5, 0, 2), AIC: -5326.23, Final model converged
[2024-05-31T23:25:25] Estimation window: 2006-09-12 - 2010-08-31, Best order: (5, 0, 2), AIC: -5326.26, Final model converged
[2024-05-31T23:26:00] Estimation window: 2006-09-13 - 2010-09-01, Best order: (5, 0, 2), AIC: -5324.21, Final model converged
[2024-05-31T23:26:34] Estimation window: 2006-09-14 - 2010-09-02, Best order: (5, 0, 5), AIC: -5320.49, Final model converged
[2024-05-31T23:27:10] Estimation window: 2006-09-15 - 2010-09-03, Best order: (5, 0, 2), AIC: -5322.74, Final model converged
[2024-05-31T23:27:42] Estimation window: 2006-09-18 - 2010-09-07, Best order: (5, 0, 2), AIC: -5322.38, Final model converged
[2024-05-31T23:28:17] Estimation window: 2006-09-19 - 2010-09-08, Best order: (5, 0, 2), AIC: -5322.26, Final model converged
[2024-05-31T23:28:54] Estimation window: 2006-09-20 - 2010-09-09, Best order: (5, 0, 2), AIC: -5322.28, Final model converged
[2024-05-31T23:29:27] Estimation window: 2006-09-21 - 2010-09-10, Best order: (5, 0, 2), AIC: -5321.98, Final model converged
[2024-05-31T23:30:03] Estimation window: 2006-09-22 - 2010-09-13, Best order: (5, 0, 2), AIC: -5321.68, Final model converged
[2024-05-31T23:30:36] Estimation window: 2006-09-25 - 2010-09-14, Best order: (5, 0, 2), AIC: -5321.65, Final model converged
[2024-05-31T23:31:10] Estimation window: 2006-09-26 - 2010-09-15, Best order: (5, 0, 2), AIC: -5321.98, Final model converged
[2024-05-31T23:31:45] Estimation window: 2006-09-27 - 2010-09-16, Best order: (5, 0, 2), AIC: -5322.24, Final model converged
[2024-05-31T23:32:17] Estimation window: 2006-09-28 - 2010-09-17, Best order: (5, 0, 2), AIC: -5322.2, Final model converged
[2024-05-31T23:32:53] Estimation window: 2006-09-29 - 2010-09-20, Best order: (2, 0, 5), AIC: -5319.57, Final model converged
[2024-05-31T23:33:24] Estimation window: 2006-10-02 - 2010-09-21, Best order: (2, 0, 5), AIC: -5319.33, Final model converged
[2024-05-31T23:33:54] Estimation window: 2006-10-03 - 2010-09-22, Best order: (2, 0, 5), AIC: -5319.22, Final model converged
[2024-05-31T23:34:25] Estimation window: 2006-10-04 - 2010-09-23, Best order: (5, 0, 2), AIC: -5320.83, Final model converged
[2024-05-31T23:34:59] Estimation window: 2006-10-05 - 2010-09-24, Best order: (5, 0, 2), AIC: -5319.84, Final model converged
[2024-05-31T23:35:31] Estimation window: 2006-10-06 - 2010-09-27, Best order: (5, 0, 2), AIC: -5319.82, Final model converged
[2024-05-31T23:36:03] Estimation window: 2006-10-09 - 2010-09-28, Best order: (5, 0, 2), AIC: -5319.49, Final model converged
